division_id,division_label,game_url,game_id,title,game_date,season,venue,league
d3_mondays,D3 Mondays,https://tdlbasketball.com/event/bkysc-vs-manhattan-mayo-clinic/,d3_mondays:bkysc-vs-manhattan-mayo-clinic,BKYSC vs Manhattan Mayo Clinic,2026-01-05,2026W,HSFI,3rd Division A - Monday
d3_mondays,D3 Mondays,https://tdlbasketball.com/event/brickstone-associates-vs-texas-elite/,d3_mondays:brickstone-associates-vs-texas-elite,Brickstone Associates vs Texas Elite,2026-01-05,2026W,HSFI,3rd Division A - Monday
d3_mondays,D3 Mondays,https://tdlbasketball.com/event/ibaka-flaka-flame-vs-manhattan-elite-2/,d3_mondays:ibaka-flaka-flame-vs-manhattan-elite-2,Ibaka Flaka Flame vs Manhattan Elite,2026-01-05,2026W,HSFI,3rd Division A - Monday
d3_mondays,D3 Mondays,https://tdlbasketball.com/event/smooth-buckets-vs-nj-rockets/,d3_mondays:smooth-buckets-vs-nj-rockets,Smooth Buckets vs NJ Rockets,2026-01-05,2026W,HSFI,3rd Division A - Monday
d3_tuesdays,D3 Tuesdays,https://tdlbasketball.com/event/bicoastal-baddies-vs-jp-junior-varsity-6/,d3_tuesdays:bicoastal-baddies-vs-jp-junior-varsity-6,Bicoastal Baddies vs JP Junior Varsity,2026-01-06,2026W,HSFI,3rd Division B - Tuesday
d3_tuesdays,D3 Tuesdays,https://tdlbasketball.com/event/ggininder-vs-smash-n-bounce-2/,d3_tuesdays:ggininder-vs-smash-n-bounce-2,GGininder vs Smash N Bounce,2026-01-06,2026W,HSFI,3rd Division B - Tuesday
d3_tuesdays,D3 Tuesdays,https://tdlbasketball.com/event/scrub-daddies-vs-meat-ball-club-2/,d3_tuesdays:scrub-daddies-vs-meat-ball-club-2,Scrub Daddies vs Meat Ball Club,2026-01-06,2026W,HSFI,3rd Division B - Tuesday
d3_tuesdays,D3 Tuesdays,https://tdlbasketball.com/event/spark-plugs-vs-reservoir-dogs/,d3_tuesdays:spark-plugs-vs-reservoir-dogs,Spark Plugs vs Reservoir Dogs,2026-01-06,2026W,HSFI,3rd Division B - Tuesday
premier_wednesdays,Premier,https://tdlbasketball.com/event/expensive-league-vs-overtime/,premier_wednesdays:expensive-league-vs-overtime,Expensive League vs Overtime,2026-01-07,2026W,HSFI,Premier Division
premier_wednesdays,Premier,https://tdlbasketball.com/event/five-borough-boys-vs-goodrun-app-3/,premier_wednesdays:five-borough-boys-vs-goodrun-app-3,Five Borough Boys vs @GoodRun.app,2026-01-07,2026W,HSFI,Premier Division
premier_wednesdays,Premier,https://tdlbasketball.com/event/swish-house-vs-hoop-fuel-nutrition/,premier_wednesdays:swish-house-vs-hoop-fuel-nutrition,Swish House vs Hoop Fuel Nutrition,2026-01-07,2026W,HSFI,Premier Division
d2_thursdays,D2 Thursdays,https://tdlbasketball.com/event/honey-badgers-vs-new-gotham-2-2/,d2_thursdays:honey-badgers-vs-new-gotham-2-2,Honey Badgers vs New Gotham,2026-01-08,2026W,HSFI,2nd Division - Thursday
d2_thursdays,D2 Thursdays,https://tdlbasketball.com/event/hoya-redemption-vs-shiesty-squad/,d2_thursdays:hoya-redemption-vs-shiesty-squad,Hoya Redemption vs Shiesty Squad,2026-01-08,2026W,HSFI,2nd Division - Thursday
d2_thursdays,D2 Thursdays,https://tdlbasketball.com/event/mr-beast-vs-ny-rockits-3/,d2_thursdays:mr-beast-vs-ny-rockits-3,Mr. Beast vs NY Rockits,2026-01-08,2026W,HSFI,2nd Division - Thursday
d2_thursdays,D2 Thursdays,https://tdlbasketball.com/event/snb-vs-dream/,d2_thursdays:snb-vs-dream,SNB vs Dream,2026-01-08,2026W,HSFI,2nd Division - Thursday
d2_sundays,D2 Sundays,https://tdlbasketball.com/event/arc-angels-vs-infinite-potential-2/,d2_sundays:arc-angels-vs-infinite-potential-2,Arc Angels vs Infinite Potential,2026-01-11,2026W,HSFI,2nd Division - Sunday
d2_sundays,D2 Sundays,https://tdlbasketball.com/event/bucketboys-vs-layups-only/,d2_sundays:bucketboys-vs-layups-only,BucketBoys vs Layups Only,2026-01-11,2026W,HSFI,2nd Division - Sunday
d2_sundays,D2 Sundays,https://tdlbasketball.com/event/rush-hour-vs-hoop-prophets/,d2_sundays:rush-hour-vs-hoop-prophets,Rush Hour vs Hoop Prophets,2026-01-11,2026W,HSFI,2nd Division - Sunday
d2_sundays,D2 Sundays,https://tdlbasketball.com/event/yolo-vs-big-bullies/,d2_sundays:yolo-vs-big-bullies,YOLO vs Big Bullies,2026-01-11,2026W,HSFI,2nd Division - Sunday
