division_id,division_label,game_id,game_url,table_index,team_name,pts,reb,ast,stl,blk,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,tov,pf
d3_mondays,D3 Mondays,d3_mondays:bkysc-vs-manhattan-mayo-clinic,https://tdlbasketball.com/event/bkysc-vs-manhattan-mayo-clinic/,1,BKYSC,66,50,20,7,5,24,62,0.387,9,25,0.36,9,21,0.429,19,7
d3_mondays,D3 Mondays,d3_mondays:bkysc-vs-manhattan-mayo-clinic,https://tdlbasketball.com/event/bkysc-vs-manhattan-mayo-clinic/,2,Manhattan Mayo Clinic,59,35,13,12,8,22,62,0.355,8,30,0.267,7,12,0.583,13,16
d3_mondays,D3 Mondays,d3_mondays:brickstone-associates-vs-texas-elite,https://tdlbasketball.com/event/brickstone-associates-vs-texas-elite/,1,Brickstone Associates,76,38,28,5,3,32,72,0.444,12,31,0.387,0,5,0.0,11,12
d3_mondays,D3 Mondays,d3_mondays:brickstone-associates-vs-texas-elite,https://tdlbasketball.com/event/brickstone-associates-vs-texas-elite/,2,Texas Elite,85,38,17,8,2,31,69,0.449,11,29,0.379,12,15,0.8,8,8
d3_mondays,D3 Mondays,d3_mondays:ibaka-flaka-flame-vs-manhattan-elite-2,https://tdlbasketball.com/event/ibaka-flaka-flame-vs-manhattan-elite-2/,1,Ibaka Flaka Flame,55,40,10,15,3,22,63,0.349,4,26,0.154,7,11,0.636,12,9
d3_mondays,D3 Mondays,d3_mondays:ibaka-flaka-flame-vs-manhattan-elite-2,https://tdlbasketball.com/event/ibaka-flaka-flame-vs-manhattan-elite-2/,2,Manhattan Elite,77,54,28,8,3,29,70,0.414,12,34,0.353,7,9,0.778,15,10
d3_mondays,D3 Mondays,d3_mondays:smooth-buckets-vs-nj-rockets,https://tdlbasketball.com/event/smooth-buckets-vs-nj-rockets/,1,Smooth Buckets,70,32,19,11,3,25,53,0.472,4,13,0.308,16,31,0.516,9,14
d3_mondays,D3 Mondays,d3_mondays:smooth-buckets-vs-nj-rockets,https://tdlbasketball.com/event/smooth-buckets-vs-nj-rockets/,2,NJ Rockets,63,32,18,8,2,21,54,0.389,11,30,0.367,10,14,0.714,12,15
d3_tuesdays,D3 Tuesdays,d3_tuesdays:bicoastal-baddies-vs-jp-junior-varsity-6,https://tdlbasketball.com/event/bicoastal-baddies-vs-jp-junior-varsity-6/,1,Bicoastal Baddies,77,27,19,11,1,31,72,0.431,10,35,0.286,5,6,0.833,8,2
d3_tuesdays,D3 Tuesdays,d3_tuesdays:bicoastal-baddies-vs-jp-junior-varsity-6,https://tdlbasketball.com/event/bicoastal-baddies-vs-jp-junior-varsity-6/,2,JP Junior Varsity,86,44,23,4,0,31,73,0.425,20,47,0.426,4,4,1.0,16,7
d3_tuesdays,D3 Tuesdays,d3_tuesdays:ggininder-vs-smash-n-bounce-2,https://tdlbasketball.com/event/ggininder-vs-smash-n-bounce-2/,1,GGininder,60,39,16,15,6,21,60,0.35,9,25,0.36,9,10,0.9,14,4
d3_tuesdays,D3 Tuesdays,d3_tuesdays:ggininder-vs-smash-n-bounce-2,https://tdlbasketball.com/event/ggininder-vs-smash-n-bounce-2/,2,Smash N Bounce,55,36,19,10,1,21,61,0.344,10,34,0.294,3,4,0.75,18,11
d3_tuesdays,D3 Tuesdays,d3_tuesdays:scrub-daddies-vs-meat-ball-club-2,https://tdlbasketball.com/event/scrub-daddies-vs-meat-ball-club-2/,1,Scrub Daddies,72,43,18,3,0,29,64,0.453,10,26,0.385,4,12,0.333,10,14
d3_tuesdays,D3 Tuesdays,d3_tuesdays:scrub-daddies-vs-meat-ball-club-2,https://tdlbasketball.com/event/scrub-daddies-vs-meat-ball-club-2/,2,Meat Ball Club,60,33,10,9,1,21,66,0.318,5,38,0.132,13,19,0.684,6,9
